time, intensity
1645341517,-21000000.0
1645341517,-27800000.0
1645341517,-35400000.0
1645341517,-43100000.0
1645341518,-51200000.0
1645341518,-59500000.0
1645341518,-67400000.0
1645341518,-75800000.0
1645341518,-85100000.0
1645341518,-95900000.0
1645341518,-102200000.0
1645341518,-102200000.0
1645341518,-102200000.0
1645341518,-102200000.0
1645341519,-102200000.0
1645341519,-102200000.0
1645341519,-102200000.0
1645341519,-102200000.0
1645341519,-102200000.0
1645341519,-102200000.0
1645341519,-99700000.0
1645341519,-94100000.0
1645341519,-87400000.0
1645341519,-79900000.0
1645341520,-71100000.0
1645341520,-61400000.0
1645341520,-50400000.0
1645341520,-39900000.0
1645341520,-28500000.0
1645341520,-19500000.0
1645341520,-9400000.0
1645341520,-1400000.0
1645341520,100000.0
1645341520,100000.0
1645341521,100000.0
1645341521,100000.0
1645341521,100000.0
1645341521,100000.0
1645341521,100000.0
1645341521,100000.0
1645341521,100000.0
1645341521,100000.0
1645341521,100000.0
1645341521,100000.0
1645341522,100000.0
1645341522,100000.0
1645341522,100000.0
1645341522,100000.0
1645341522,-1200000.0
1645341522,-4200000.0
1645341522,-8100000.0
1645341522,-11500000.0
1645341522,-16700000.0
1645341522,-22200000.0
1645341523,-28900000.0
1645341523,-35500000.0
1645341523,-43600000.0
1645341523,-50900000.0
1645341523,-59100000.0
1645341523,-66500000.0
1645341523,-75300000.0
1645341523,-82100000.0
1645341523,-91800000.0
1645341523,-102200000.0
1645341524,-102200000.0
1645341524,-102200000.0
1645341524,-102200000.0
1645341524,-102200000.0
1645341524,-102200000.0
1645341524,-102200000.0
1645341524,-102200000.0
1645341524,-102200000.0
1645341524,-102200000.0
1645341524,-102200000.0
1645341525,-99000000.0
1645341525,-93800000.0
1645341525,-87800000.0
1645341525,-80800000.0
1645341525,-73100000.0
1645341525,-63700000.0
1645341525,-54100000.0
1645341525,-43600000.0
1645341525,-33400000.0
1645341525,-23800000.0
1645341526,-15700000.0
1645341526,-6300000.0
1645341526,100000.0
1645341526,100000.0
1645341526,100000.0
1645341526,100000.0
1645341526,100000.0
1645341526,100000.0
1645341526,100000.0
1645341526,100000.0
1645341527,100000.0
1645341527,100000.0
1645341527,100000.0
1645341527,100000.0
1645341527,100000.0
1645341527,100000.0
1645341527,100000.0
1645341527,100000.0
1645341527,100000.0
1645341527,100000.0
1645341528,100000.0
1645341528,-1800000.0
1645341528,-4900000.0
1645341528,-9000000.0
1645341528,-13000000.0
1645341528,-17200000.0
1645341528,-23400000.0
1645341528,-27900000.0
1645341528,-34400000.0
1645341528,-41900000.0
1645341529,-48900000.0
1645341529,-56500000.0
1645341529,-63700000.0
1645341529,-71500000.0
1645341529,-80100000.0
1645341529,-90100000.0
1645341529,-99500000.0
1645341529,-102200000.0
1645341529,-102200000.0
1645341529,-102200000.0
1645341530,-102200000.0
1645341530,-102200000.0
1645341530,-102200000.0
1645341530,-102200000.0
1645341530,-102200000.0
1645341530,-102200000.0
1645341530,-102200000.0
1645341530,-102200000.0
1645341530,-99000000.0
1645341530,-94100000.0
1645341531,-87800000.0
